Word,Corrected,Connected,Additional,Removal,Subs,Undefined,??????
ijavascriptelementdelta,Javascript element delta,2,1,,,,
ijavascriptmodel,javascript model,1,1,,,,
ijavasearchconstants,java search constants,2,1,,,,
ijdbcdriverdefinitionconstants,jdbc driver definition constants,3,1,,,,
ijiracoreextensionconstants,jira core extension constants,3,1,,,,
ijobchangelistener,job change listener,2,1,,,,
ijsobjectpopulator,Ijs object populator,2,,,,1,
ijstranslation,Ijs translation,1,,,,1,
ijuma,ijuma,,,,,1,
ikili,kill,,2,1,,,
ikkunointiohjelman,Ikkunointiohjel man,1,,,,1,
iklub,iklub,,,,,1,
ikona,ikona,,,,,1,
ikonek,ikonek,,,,,1,
ilabelproviderlisteners,label provider listeners,2,1,,,,
ilabelproviders,label providers,1,1,,,,
iland,land,,1,,,,
ilanguageservices,language services,1,1,,,,
ilayer,layer,,1,,,,
ilegalstateexception,illegal state exception,2,,1,,,
ilfolder,folder,,2,,,,
ilicensingservice,licensing service,1,1,,,,
ilifecycleevents,life cycle events,2,1,,,,
ilink,link,,1,,,,
ilinkprovider,link provider,1,1,,,,
iliyanvelikov,iliyanvelikov,,,,,1,
ilkin,ilkin,,,,,1,
illega,illegal,,,1,,,
illegalandcontrolcharacterset,Illegal and control character set,4,,,,,
illegalargumentexception,Illegal argument exception,2,,,,,
illegalargumentexcpetion,Illegal argument exception,2,,,1,,
illegalcharacterset,Illegal character set,2,,,,,
illegalclassname,Illegal class name,2,,,,,
illegaldataexception,Illegal data exception,2,,,,,
illegalformatexception,Illegal format exception,2,,,,,
illegalimplementsproblemdetector,Illegal implements problem detector,3,,,,,
illegalinstantiateproblemdetector,Illegal instantiate problem detector,3,,,,,
illegalmonitorstateexception,Illegal monitor state exception,3,,,,,
illegalpush,Illegal push,1,,,,,
illegalstateexception,Illegal state exception,2,,,,,
illegalvalueexception,Illegal value exception,2,,,,,
illigalargumentexception,Illegal argument exception,2,1,1,,,
illini,illini,,,,,1,
illinoisstate,Illinois state,1,,,,,
illopc,illopc,,,,,1,
illusionlabs,Illusion labs,1,,,,,
illustrationindex,Illustration index,1,,,,,
ilocalresources,local resources,1,1,,,,
ilocationmanager,location manager,1,1,,,,
iloglistener,log listener,1,1,,,,
iloko,iloko,,,,,1,
ilorg,ilorg,,,,,1,
ilveventthreadutil,Ilv event thread util,3,,,,1,
imacors,imacors,,,,,1,
imagea,image,,1,,,,
imagearea,Image area,1,,,,,
imagearydata,Image array data,2,,3,,,
imageattachment,Image attachment,1,,,,,
imageb,image,,1,,,,
imagebam,Image bam,1,,,,1,
imagebanana,Image banana,1,,,,,
imagebot,Image bot,1,,,,,
imagebrowser,Image browser,1,,,,,
imagebuttons,Image buttons,1,,,,,
imagebyrenderinginrect,Image by rendering in rect,4,,,,,
imagecolumns,Image columns,1,,,,,
imageconsumer,Image consumer,1,,,,,
imagecontainer,Image container,1,,,,,
imagecontainerogl,Image container ogl,2,,,,1,
imagecraft,Image craft,1,,,,,
imagedata,Image data,1,,,,,
imagedataloader,Image data loader,2,,,,,
imagedecorator,Image decorator,1,,,,,
imagedirectory,Image directory,1,,,,,
imagedocuments,Image documents,1,,,,,
imagedraw,Image draw,1,,,,,
imagedrawable,Image drawable,1,,,,,
imagefap,Image fap,1,,,,1,
imagefaxviewer,Image fax viewer,2,,,,,
imagefilename,Image filename,1,,,,,
imagegallery,Image gallery,1,,,,,
imagegc,Image gc,1,,,,,
imagegetter,Image getter,1,,,,,
imagehang,Image hang,1,,,,,
imageio,Image io,1,,,,,
imagelength,Image length,1,,,,,
imageloaderrequest,Image loader request,2,,,,,
imageloaderworker,Image loader worker,2,,,,,
imagemagick,Image magic,1,1,,,,
imagemanger,Image manger,1,,,,,
imagemap,Image map,1,,,,,
imagemapeditor,Image map editor,2,,,,,
imagematrix,Image matrix,1,,,,,
imagemessagecomponent,Image message component,2,,,,,
imagen,image,,1,,,,
imageobserver,Image observer,1,,,,,
imageon,Image on,1,,,,,
imagepath,Image path,1,,,,,
imagereader,Image reader,1,,,,,
imageresize,Image resize,1,,,,,
imageshack,Images hack,1,,,,,
imageshacktoolbar,Images hack toolbar,2,,,,,
imagesmanager,Images manager,1,,,,,
imagespan,Image span,1,,,,,
imagetitlewithdimensionsandfile,Image title with dimensions and file,5,,,,,
imagetobedisposed,Image to be disposed,3,,,,,
imagetweak,Image tweak,1,,,,,
imageuploader,Image uploader,1,,,,,
imageuri,Image uri,1,,,,,
imageutils,Image utils,1,,,,,
imageutiltest,Image util test,2,,,,,
imageview,Image view,1,,,,,
imageviewcattopic,Image view cat topic,3,,,,,
imagezoomview,Image zoom view,2,,,,,
imaketarget,make target,1,1,,,,
imanagedbeansymbol,managed bean symbol,2,1,,,,
imanagedbuildinfo,Managed build info,2,1,,,,
imanagedoptionvaluehandler,managed option value handler,3,1,,,,
imanufacturer,manufacturer,,1,,,,
imapaccount,Imap account,1,,,,,
imaret,imaret,,,,,1,
imarkerlocationresolver,marker location resolver,2,1,,,,
imarketbillingservice,market billing service,2,1,,,,
imarks,marks,,1,,,,
imatchlen,match len,1,1,,,,
imawww,imawww,,,,,1,
imcomplatible,Im compatible,1,1,,,1,
imcosh,Im cosh,1,,,,1,
imcrtpframehandler,Imc rtp frame handler,3,,,,1,
imcrtpserver,Imc rtp server,2,,,,1,
imdiv,imdiv,,,,,1,
imeadapter,Ime adapter,1,,,,1,
imean,mean,,1,,,,
imediately,immediately,,,1,,,
imekrjp,imekrjp,,,,,1,
imembervaluepairbinding,member value pair binding,3,1,,,,
imemory,memory,,1,,,,
imemoryblock,memory block,1,1,,,,
imemoryblockextensions,memory block extensions,2,1,,,,
imenulistener,menu listener,1,1,,,,
imepreferences,Ime preferences,1,,,,1,
imesample,Ime sample,1,,,,1,
imesettings,Ime settings,1,,,,1,
imetadata,Meta data,1,1,,,,
imetadatareposiotrymanager,Meta data reposiotry manager,3,1,,,,
imetadatarepository,meta data repository,2,1,,,,
imethodobjectcontribution,method object contribution,3,1,,,,
imexp,Imexp,,,,,1,
imgcachevalidator,Img cache validator,2,,,,,
imgchart,Img chart,1,,,,,
imgcontainers,Img containers,1,,,,,
imghp,Img hp,1,,,,,
imgicon,Img icon,1,,,,,
imgimg,Img img,1,,,,,
imglib,Img lib,1,,,,,
imglikeopera,Img like opera,2,,,,,
imglst,Img list,1,,1,,,
imgmap,Img map,1,,,,,
imgrequestproxy,Img request proxy,2,,,,,
imgrequeststatustracker,Img request status tracker,3,,,,,
imgrot,Img rot,1,,,,,
imgutils,Img utils,1,,,,,
imgvalues,Img values,1,,,,,
imhotep,imhotep,,,,,1,
imiexecutiondmcontext,Imi execution dmcon text,3,,,,2,
imiexecutiongroupdmc,Imi execution group dmc,3,,,,2,
immages,images,,1,,,,
immagine,imagine,,1,,,,
immedately,immediately,,,1,,,
immedeatly,immediately,,,1,1,,
immediando,Immediate ndo,1,,2,,1,
immediatefirepropertychange,Immediate fire property change,3,,,,,
immedieatedly,immediately,,2,,,,
immedietly,immediately,,,1,1,,
immeditely,immediately,,,1,,,
immensily,immensely,,1,1,,,
immidiately,immediately,,1,1,,,
immodules,Im modules,1,,,,1,
immpossible,impossible,,1,,,,
immutables,immutable,,1,,,,
immutablesync,Immutable sync,1,,,,,
immutablevalue,Immutable value,1,,,,,
imodelcompnent,Model component,1,1,1,,,
imodelproviderevent,Model provider event,2,1,,,,
imodelstatelistener,model state listener,2,1,,,,
imodulefolder,module folder,1,1,,,,
imodulenode,module node,1,1,,,,
imozilla,mozilla,,1,,,,
impactodc,Impactodc,,,,,1,
impaddlinegeomteryformiteredlines,Imp add line geometry for mitered lines,,,,1,1,
impaginazione,Im pagination,,2,1,,1,
impbitmap,Imp bit map,2,,,,,
impbreakline,Imp break line,2,,,,,
impdecomposeblocktextprimitive,Imp decompose block text primitive,4,,,,1,
impeditview,Imp edit view,2,,,,1,
impelmenters,Imp elements,1,2,1,,1,
imperativeoperations,Imperative operations,1,,,,,
impgraph,Imp graph,1,,,,1,
implaccept,Impl accept,1,,,,,
implcalcheight,Impl calc height,2,,,,,
implcallpaint,Impl call paint,2,,,,,
implcreatetabletemplate,Impl create table template,3,,,,,
impldevfontlist,Impl dev font list,3,,,,,
implelemented,Implemented,,2,,,,
implememented,implemented,,2,,,,
implemenations,implementations,,,1,1,,
implemeneted,implemented,,1,,,,
implementatio,implementation,,,1,,,
implementationentry,Implementation entry,1,,,,,
implementationfactory,Implementation factory,1,,,,,
implementd,implemented,,,1,,,
implementmethodrefactoring,Implement method refactoring,2,,,,,
implemntation,implementation,,,1,,,
implerase,Impl erase,1,,,,,
implexecute,Impl execute,1,,,,,
implfortype,Impl for type,2,,,,,
implgettabrect,Impl get tab rect,3,,,,1,
implglyphfallbackfontsubstitution,Impl glyph fallback font substitution,4,,,,,
implhandlekey,Impl handle key,2,,,,,
implhandlesizemsg,Impl handle size msg,3,,,,,
implicitcollect,Implicit collect,1,,,,,
implict,implicit,,,1,,,
implimentations,implementations,,1,1,,,
implimented,implemented,,1,1,,,
implinit,implicit,,1,1,,,
implinspect,Impl inspect,1,,,,,
implisvisible,Impl is visible,2,,,,,
impllayoutargs,Impl layout args,2,,,,,
implmeents,Impl meets,1,1,,,,
implmenting,Impl meeting,1,1,1,,,
implname,Impl name,1,,,,,
implold,implode,,1,1,,,
implpreparelayoutargs,Impl prepare layout args,3,,,,,
implserverfontentry,Impl server font entry,3,,,,,
implsetsymbolsstyle,Impl set symbols style,3,,,,,
implsvmainhook,Impl sv main hook,3,,,,1,
implts,implants,,,2,,,
imponibile,impossible,,2,2,,,
impoperly,improperly,,,1,,,
imporperly,improperly,,,,1,,
importada,Import ada,1,,,,,
importasbinary,Import as binary,2,,,,,
importedback,Imported back,1,,,,,
importemailcertificate,Import email certificate,2,,,,,
importembeddedobjectresolver,Import embedded object resolver,3,,,,,
importerror,Import error,1,,,,,
importertoplevel,Importer top level,2,,,,,
importeudoramailimpl,Import eudora mail impl,3,,,,1,
importexporttools,Import export tools,2,,,,,
importfreez,Import freeze,1,,1,,,
importfromfile,Import from file,2,,,,,
importfromsvnwizard,Import from svn wizard,3,,,,,
importfunction,Import function,1,,,,,
importhtmlfromfile,Import html from file,3,,,,,
importimpl,Import impl,1,,,,,
importlaunchconfigurations,Import launch configurations,2,,,,,
importlinkxmlwizard,Import link xml wizard,3,,,,,
importpackagespecification,Import package specification,2,,,,,
importpage,Import page,1,,,,,
importplugin,Import plugin,1,,,,,
importprivatekeyinfoandreturnkey,Import private key info and return key,6,,,,,
importprofileviewaction,Import profile view action,3,,,,,
importprojectsetaction,Import project set action,3,,,,,
importprojectsetmainpage,Import project set main page,4,,,,,
importrelations,Import relations,1,,,,,
importresourceaction,Import resource action,2,,,,,
importresourcesaction,Import resources action,2,,,,,
importrewrite,Import rewrite,1,,,,,
importsaved,Import saved,1,,,,,
importscleanup,Imports cleanup,1,,,,,
importslocation,Imports location,1,,,,,
importsourcearchives,Import source archives,2,,,,,
importxml,Import xml,1,,,,,
imporvement,improvement,,,,1,,
imposs,imposes,,,1,,,
impossibe,impossible,,,1,,,
impossiblie,impossible,,1,,,,
imppref,imppref,,,,,1,
impres,impress,,,1,,,
impressbug,Impress bug,1,,,,,
imprimasavealfrescocomponent,Im prim a save alfresco component,5,,,,,
imprime,Im prime,1,,,,,
imprimer,Im primer,1,,,,,
imprimerieassociativeagenpc,Im primer ie associative agency,4,1,1,,1,
improvider,improviser,,1,1,,,
improvment,improvement,,,1,,,
impsdrgdimetafileimport,Impsdrgdi meta file import,3,,,,2,
impsvnumberinputscan,Impsv number input scan,3,,,,1,
imptextheightchanged,Imp text height changed,3,,,,1,
impwizardpage,Imp wizard page,2,,,,1,
imrpove,improve,,,,1,,
imsession,In session,1,1,1,,,
imsessionwrapper,In session wrapper,2,1,1,,,
imsub,imsub,,,,,1,
imtrs,imtrs,,,,,1,
imurlactivity,In url activity,2,1,1,,,
imxmxtahniq,imxmxtahniq,,,,,1,
imyserviceinterface,my service interface,1,1,,,,
inaccesible,inaccessible,,,1,,,
inaccessiblewsdlexception,Inaccessible wsdl exception,2,,,,,
inacitve,inactive,,,,1,,
inactiveprocessexcepti,Inactive process exception,2,,2,,,
inactiveprocessexception,Inactive process exception,2,,,,,
inactivetab,Inactive tab,1,,,,,
inactivo,inactive,,1,1,,,
inadeqate,In adequate,1,,1,,,
inaktiv,native,,2,1,,,
inaktiven,In native,,1,,1,,
inalbum,In album,1,,,,,
inameresolutionprovider,name resolution provider,2,1,,,,
inappbuypageactivity,In app buy page activity,4,,,,,
inapropriate,In appropriate,1,,1,,,
inavigatoritem,navigator item,1,1,,,,
inbasecommand,In base command,2,,,,,
inboundmsgabbrev,Inbound msg abbrev,2,,,,1,
inbrowser,In browser,1,,,,,
inccorectly,incorrectly,,1,1,,,
incdec,incident,,1,3,,,
incdeclocal,Incident local,,1,3,,,
inceptos,inceptions,,,2,,,
incertreqmsg,Insert req msg,2,1,1,,2,
incgname,Incg name,1,,,,1,
incidentupdatedaemon,Incident update daemon,2,,,,,
incinsistently,inconsistently,,1,1,,,
inclomplete,incomplete,,1,,,,
includeattribs,Include attributes,1,,3,,,
includedetailedstats,Include detailed stats,2,,,,,
includedfiles,Included files,1,,,,,
includedropaction,Include drop action,2,,,,,
includeentitygroup,Include entity group,2,,,,,
includeimage,Include image,1,,,,,
includemask,Include mask,1,,,,,
includenoise,Include noise,1,,,,,
includeoptional,Include optional,1,,,,,
includepad,Include pad,1,,,,,
includepathvarspreferencepage,Include path vars preference page,4,,,,,
inclue,include,,,1,,,
inclued,include,,,,1,,
incluided,included,,1,,,,
inclusing,including,,1,1,,,
incoherencia,incoherence,,2,1,,,
incomind,incoming,,1,1,,,
incomingcall,Incoming call,1,,,,,
incomingcommand,Incoming command,1,,,,,
incomingmessage,Incoming message,1,,,,,
incomingnumber,Incoming number,1,,,,,
incomlpete,incomplete,,,,1,,
incomming,incoming,,1,,,,
incommingcommand,Incoming command,1,1,,,,
incompatibleclasschangeerror,Incompatible class change error,3,,,,,
incompatiblerethrownexception,Incompatible re-thrown exception,2,1,,,,
incompetant,In competent,1,1,1,,,
incompletetranslations,In complete translations,2,,,,,
inconcievable,In conceivable,1,,,1,,
inconnue,In continue,1,2,,,,
inconnues,In continues,1,2,,,,
inconsequnce,In consequence,1,1,,,,
inconsistencis,inconsistencies,,1,,,,
inconsitingly,In consistently,1,3,2,,,
inconstent,Inconstant,,1,1,,,
incontent,In content,1,,,,,
inconveiniant,Inconvenient,,1,2,,,
inconvenice,Inconvenience,,1,,1,,
inconvinent,In continent,1,1,1,,,
incorp,In corp,1,,,,,
incorporatebegin,In corporate begin,2,,,,,
incorrently,incorrectly,,1,1,,,
incorret,incorrect,,,1,,,
incosistencies,In consistencies,1,,1,,,
incosistent,In consistent,1,,1,,,
incprop,Inc prop,1,,,,,
increaseheight,Increase height,1,,,,,
incredibe,incredible,,,1,,,
incredibles,incredible,,1,,,,
incredimail,Incredi mail,1,,,,1,
incref,incref,,,,,1,
increidmail,Incre id mail,2,,,,1,
incrementandget,Increment and get,2,,,,,
incrementanimationenumerator,Increment animation enumerator,2,,,,,
incrementref,Increment ref,1,,,,,
incssvaluesearch,In css value search,3,,,,,
incuded,included,,,1,,,
inculsion,inclusion,,,,1,,
incutation,incubation,,1,1,,,
indatametod,In data method,2,,1,,,
indavideo,Inda video,1,,,,1,
indego,indigo,,1,1,,,
indensity,intensity,,1,1,,,
indentaction,Indent action,1,,,,,
indentationlevel,Indentation level,1,,,,,
indentifi,identified,,1,2,,,
indepednent,independent,,1,1,,,
independantly,independently,,1,1,,,
independend,independent,,1,1,,,
independiente,independent,,2,,,,
indepent,indecent,,1,1,,,
inderjit,inderjit,,,,,1,
indexarrayoutofbound,Index array out of bound,4,,,,,
indexcount,Index count,1,,,,,
indexdocs,Index docs,1,,,,,
indexdocument,Index document,1,,,,,
indexedbinarysearch,Indexed binary search,2,,,,,
indexedregions,Indexed regions,1,,,,,
indexentwurf,Index entwurf,1,,,,1,
indexerjob,Indexer job,1,,,,,
indexexing,Index exing,1,,,,1,
indexfiles,Index files,1,,,,,
indexi,index,,1,,,,
indexifnotuptodate,Index if not up to date,5,,,,,
indexingstall,Index install,1,1,,,,
indexless,Index less,1,,,,,
indexmatches,Index matches,1,,,,,
indexmenubar,Index menu bar,2,,,,,
indexnode,Index node,1,,,,,
indexofcommon,Index of common,2,,,,,
indexoutofbounds,Index out of bounds,3,,,,,
indexp,Index,,1,,,,
indexpages,Index pages,1,,,,,
indiancal,Indian call,1,,1,,,
indicateurs,indicators,,2,1,,,
indicationwithmonitoring,Indication with monitoring,2,,,,,
indicativo,indicative,,1,1,,,
indicatorexceptions,Indicator exceptions,1,,,,,
indicazioni,indication,,2,2,,,
indici,indict,,1,1,,,
indicies,indices,,1,,,,
indidual,individual,,,2,,,
indigator,indicator,,1,1,,,
indir,indie,,1,1,,,
indisponible,indispensable,,2,3,,,
indistiguishable,indistinguishable,,,1,,,
individualwords,Individual words,1,,,,,
individuare,individuate,,1,1,,,
indodroid,android,,3,1,,,
indstil,indstil,,,,,1,
inducir,inducer,,1,1,,,
inedx,index,,,,1,,
ineffecitive,ineffective,,1,,,,
inependent,independent,,,1,,,
inerne,internet,,,2,,,
inernet,internet,,,1,,,
inesperado,inesperado,,,,,1,
inetaddresses,net addresses,1,1,,,,
inetcpl,inetcpl,,,,,1,
inetorgperson,Inetorg person,1,,,,1,
inetsocketaddress,net socket address,2,1,,,,
ineturlw,Ineturlw,,,,,1,
inetword,In et word,2,,,,1,
inexisted,In existed,1,,,,,
inexpereinced,In experienced,1,,,1,,
inextpages,next pages,1,1,,,,
infact,In fact,1,,,,,
infallable,infallible,,1,1,,,
infallibleallocator,Infallible allocator,1,,,,,
infalliblevmcall,Infallible vm call,2,,,,1,
infcadapter,Info adapter,1,1,1,,,
infektion,infection,,1,1,,,
inferencemanager,Inference manager,1,,,,,
inferexprtn,Infer expert,1,1,1,,,
inferredmethod,Inferred method,1,,,,,
inferrenceprovider,Inference provider,1,1,,,,
infertypeargumentsconstraintcreator,Infer type arguments constraint creator,4,,,,,
infertypeargumentstcmodel,Infer type arguments tc model,4,,,,1,
infinately,infinitely,,1,1,,,
infinitly,infinity,,1,,,,
infixexpression,Infix expression,1,,,,,
inflatedchunksize,Inflated chunk size,2,,,,,
inflatedview,Inflated view,1,,,,,
infljacija,infljacija,,,,,1,
inflowframe,In flow frame,2,,,,,
influencial,influential,,1,1,,,
infocard,Info card,1,,,,,
infocards,Info cards,1,,,,,
infocenters,Info centers,1,,,,,
infodir,Info dir,1,,,,,
infofields,Info fields,1,,,,,
infomartions,informations,,,,1,,
infomraiton,information,,,,2,,
infooperation,Info operation,1,,,,,
infopop,Info pop,1,,,,,
inforation,information,,,1,,,
inforce,enforce,,1,1,,,
inforeader,Info reader,1,,,,,
informacji,Inform acji,1,,,,1,
informaction,information,,1,,,,
informaion,information,,,1,,,
informatic,informatics,,,1,,,
informatica,Informatics,,1,1,,,
informaticalaan,Inform aticalaan,1,,,,1,
informatin,information,,,1,,,
informationcardgenerator,Information card generator,2,,,,,
informationcontrolreplacer,Information control replace,2,2,,,,
informationdispatchaction,Information dispatch action,2,,,,,
informationpresenter,Information presenter,1,,,,,
informatique,informative,,1,2,,,
informixplatform,Inform ix platform,2,,,,1,
infosink,Info sink,1,,,,,
infosrvices,Info services,1,,1,,,
infosystem,Info system,1,,,,,
infounreviewed,Info un previewed,2,,1,,1,
infoview,Info view,1,,,,,
infoworld,Info world,1,,,,,
infozip,Info zip,1,,,,,
infraestructure,infrastructure,,1,,,,
infranview,Infra view,1,1,,,,
infrarecorder,Infra recorder,1,,,,,
infrasec,Infra sec,1,,,,,
infrastucture,infrastructure,,,1,,,
infrating,In rating,1,1,,,,
infuence,In fence,1,1,,,,
ingames,In games,1,,,,,
ingcalloc,In call oc,2,1,,,1,
ingdirect,In direct,1,1,,,,
ingedev,In gedev,1,,,,1,
ingnore,ignore,,1,,,,
ingresar,Ingres ar,1,,,,,
ingresplatform,Ingres platform,1,,,,1,
inhalte,In halt,1,1,,,,
inhaltsverszeichnis,In halt sverszeichnis,2,,,,1,
inhaltsverzeichnis,In halt sverzeichnis,2,,,,1,
inheritaddition,Inherit addition,1,,,,,
inheritadditiontest,Inherit addition test,2,,,,,
inheritedmodeljunittest,Inherited model unit test,3,1,,,,
inheritingclasst,Inheriting class,1,1,,,,
inheritingcomments,Inheriting comments,1,,,,,
inheritrefs,Inherit refs,1,,,,,
inhoudt,In houdt,1,,,,1,
iniatialize,initialize,,1,,,,
inicialization,In socialization,1,1,2,,,
inidomutils,In dom utils,2,1,,,1,
inifilepath,In file path,2,1,,,,
inifiles,In files,1,1,,,,
iniflasher,In flasher,1,1,,,,
iniinfo,In info,1,1,,,,
iniparser,In parser,1,1,,,,
initactivitystate,Init activity state,2,,,,,
initadditionaldbitems,Init additional db items,3,,,,,
initalized,initialized,,,1,,,
initally,initially,,,1,,,
initandrestoreframe,Init and restore frame,3,,,,,
initannotationsifnecessary,Init annotations if necessary,3,,,,,
initaudioinputstream,Init audio input stream,3,,,,,
initbroadcasterandchanges,Init broadcast er and changes,4,,,,1,
initcairo,Init cairo,1,,,,1,
initcall,Init call,1,,,,,
initcause,Init cause,1,,,,,
initchildrenfromcolumns,Init children from columns,3,,,,,
initclasseswithnewwrappedglobal,Init classes with new wrapped global,5,,,,,
initcomboexprtext,Init combo expr text,3,,,,1,
initcomboexprtextforsharedbinding,Init combo expr text for shared binding,6,,,,1,
initcontents,Init contents,1,,,,,
initcontextchangesets,Init context change sets,3,,,,,
initcsp,Init csp,1,,,,1,
initcustomactionbarview,Init custom action bar view,4,,,,,
initdatabase,Init database,1,,,,,
initdefaultparameters,Init default parameters,2,,,,,
initegl,Init egl,1,,,,1,
initembeddedtypepost,Init embedded type post,3,,,,,
initextensions,Init ex tensions,2,,,,,
initfigure,Init figure,2,,,,,
initfrombranch,Init from branch,2,,,,,
initfrompersistent,Init from persistent,2,,,,,
initgenericfallback,Init generic fallback,2,,,,,
inithangouttile,Init hang out tile,4,,,,,
inithead,Init head,1,,,,,
initheaplocked,Init heap locked,2,,,,,
initialcapacity,Initial capacity,1,,,,,
initialcapsmode,Initial capsmode,1,,,,,
initialcomponentcontext,Initial component context,2,,,,,
initialcontacts,Initial contacts,1,,,,,
initialelementtobedestroyed,Initial element to be destroyed,4,,,,,
initialfocus,Initial focus,1,,,,,
initialfocusedelt,Initial focused  ,1,3(focusedelt),,,,
initializationshutdownstep,Initialization nshutdown step,2,,,,,
initializationvalues,Initialization values,1,,,,,
initializeafterloadjob,Initialize after load job,3,,,,,
initializebounds,Initialize bounds,1,,,,,
initializebuilder,Initialize builder,1,,,,,
initializecachesynchronizationservices,Initialize cache synchronization services,3,,,,,
initializecelleditorvalue,Initialize cell editor value,3,,,,,
initializecollection,Initialize collection,1,,,,,
initializedbounds,Initialized bounds,1,,,,,
initializedecoderforchannel,Initialize decoder for channel,3,,,,,
initializedefaultpreferences,Initialize default preferences,2,,,,,
initializedelegate,Initialize delegate,1,,,,,
initializediscoverycontainer,Initialize discovery container,2,,,,,
initializedocwriteparserstate,Initialize doc write parser state,4,,,,,
initializeelementimpl,Initialize element impl,2,,,,,
initializeformheadercolors,Initialize form header colors,4,,,,,
initializefromsms,Initialize from sms,2,,,,,
initializefromtype,Initialize from type,2,,,,,
initializehighlighters,Initialize highlighters,1,,,,,
initializeinfrastructure,Initialize in frastructure,2,,,,,
initializejsterm,Initialize js term,1,,,,,
initializelayout,Initialize layout,1,,,,,
initializelocaldatabase,Initialize local database,2,,,,,
initializemarkuplanguage,Initialize markup language,2,,,,,
initializemetadatarepository,Initialize metadata repository,2,,,,,
initializenumberformat,Initialize number format,2,,,,,
initializeoperand,Initialize operand,1,,,,,
initializeoverview,Initialize overview,1,,,,,
initializepackagenames,Initialize package names,2,,,,,
initializepart,Initialize part,1,,,,,
initializepluginignores,Initialize plug in ignores,3,,,,,
initializeproviders,Initialize providers,1,,,,,
initializeproxy,Initialize proxy,1,,,,,
initializeproxysupport,Initialize proxy support,2,,,,,
initializereferences,Initialize references,1,,,,,
initializerepository,Initialize repository,1,,,,,
initializerequisitemodels,Initialize requisite models,2,,,,,
initializeroots,Initialize roots,1,,,,,
initializeserverbehaviourdelegate,Initialize server behavior delegate,3,,,,,
initializesignal,Initialize signal,1,,,,,
initializestatics,Initialize statics,1,,,,,
initializesubtaskdata,Initialize subtask data,2,,,,,
initializetaskdata,Initialize task data,2,,,,,
initializetemplateinfomap,Initialize template info map,4,,,,,
initializetestcase,Initialize test case,2,,,,,
initializetexture,Initialize texture,1,,,,,
initiallayout,Initial layout,1,,,,,
initialpaint,Initial paint,1,,,,,
initialparse,Initial parse,1,,,,,
initialprocessorclasspath,Initial processor class path,3,,,,,
initialscreentimeout,Initial screen time out,3,,,,,
initialsetdefaultname,Initial set default name,3,,,,,
initialshape,Initial shape,1,,,,,
initialsortfield,Initial sort field,2,,,,,
initialupdateui,Initial update ui,2,,,,,
initialvalue,Initial value,1,,,,,
initiatebuildchain,Initiate build chain,2,,,,,
initiatesystems,Initiate systems,1,,,,,
initinternal,Init internal,1,,,,,
initinvocationinfo,Init invocation info,2,,,,,
initjsapionctypes,Init js apion types,3,1(apionc),,,,
initkeywords,Init keywords,1,,,,,
initlegacypreferences,Init legacy preferences,2,,,,,
initleveldialog,Init level dialog,2,,,,,
initmenupopup,Init menu popup,2,,,,,
initmodelfromuri,Init model from ui,3,1(uri),,,,
initmonitors,Init monitors,1,,,,,
initmulticastsocket,Init multicast socket,2,,,,,
initmyidentities,Init my identities,2,,,,,
initobjectmanager,Init object manager,2,,,,,
initoperand,Init operand,1,,,,,
initorsetpropertybyname,Init or set property by name,5,,,,,
initpage,Init page,1,,,,,
initpanel,Init panel,1,,,,,
initprincipals,Init principals,1,,,,,
initprintsettingsfromprefs,Init print settings from prefs,4,,,,,
initprocess,Init process,1,,,,,
initprogressevent,Init progress event,2,,,,,
initrandom,Init random,1,,,,,
initres,Init res,1,,,,,
initruntime,Init run time,2,,,,,
initscreen,Init screen,1,,,,,
initscript,Init script,1,,,,,
initsdk,Init sd,1,1(sdk),,,,
initservice,Init service,1,,,,,
initservlet,Init serv let,2,,,,,
initsetting,Init setting,1,,,,,
initsign,Init sign,1,,,,,
initspellchecker,Init spell checker,2,,,,,
initstandardobjects,Init standard objects,2,,,,,
initstartupextensions,Init startup extension,2,1(extension),,,,
inittabchildglobal,Init tab child global,3,,,,,
inittextrun,Init text run,2,,,,,
inittextrungdi,Init text run gd,3,1(gdi),,,,
inittextrununiscribe,Init text run uni scribe,4,,,,,
inittitle,Init title,1,,,,,
inittoken,Init token,1,,,,,
inittts,Init ts,1,3(tts),,,,
initui,Init ui,1,,,,,
inituirootnode,Init ui root node,3,,,,,
initupdatecheckjobthread,Init update check job thread,4,,,,,
initv,Ini tv,1,,,,,
initvaluearea,Init value area,2,,,,,
initviewpager,Init view pager,2,,,,,
initweave,Init weave,1,,,,,
initwithappid,Init with app id,3,,,,,
initwithbytes,Init with bytes,2,,,,,
initwithcontentsoffile,Init with content so file,4,1(ffile),,,,
initwithfunccallback,Init with func callback,3,,,,,
initwithinstalldocument,Init with install document,3,,,,,
initwithmodule,Init with module,2,,,,,
initwithpath,Init with path,2,,,,,
initwithstring,Init with string,2,,,,,
initwithwindowid,Init with window id,3,,,,,
inivalue,Init value,1,,1(ini),,,
injectallatoncebindingmanager,Inject all aton ce binding manager,5,,,,,
injectinto,Inject into,1,,,,,
injectold,Inject old,1,,,,,
injectoraspect,Inject or aspect,2,,,,,
injectorsimple,Inject or simple,2,,,,,
inkey,In key,1,,,,,
inknown,In known,1,,,,,
inligting,In ligting,1,,,,,
